Tweet,label
@RockSolidShow @Pat_Francis #revolting cocks if you think I'm sexy!,0
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid,-1
“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,-1
@carlybigelow13 first you take the room now you wanna beat me up ,0
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,-3
@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,0
3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯,0
@WunderlistHelp are you guys still down? When can we go up? ,0
@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully,-1
@Jchawes What is your favorite #horror movie? #ghosthunters,0
@CharlieEblacker hate being shy 😩,-1
#smackdev #ptp #start oh yeah!,0
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",-2
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",0
I'm shaking now.,-3
And they cover these police shootings fairly well they dont want to miss a chance to bully you,-2
"“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.”",0
@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference),0
That old lady is cray cray #scared #BellaIsSoCute  #Empire,0
Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. ,0
@YahooCare data stolen in 2014 and only now do you tell us .,-2
@RyanAbe awe yay thank god I was so worried.,0
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,-2
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,-2
Late night #thoughts. Feeling .,0
The terror threat level really need to be raised,-3
You have a #problem? Yes! Can you do #something about it? No! Than why ,0
"@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins",0
#panic Panic attack from fear of starting new medication,-3
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",-2
An @amityaffliction kind of drive home from work today  #dailyfeels,0
♪OLD FISH ,0
Rojo is a terrible defender,0
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,-2
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,0
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,-1
Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...,0
@priorJoan @MizQue \nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat's horrific,-1
"@CGasparino Give it up Gas, I don't hate u, I just don't respect ur rudeness. #bully",0
@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer,0
@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt,0
Has anyone else had a bad experience with Poundstretcher? #nightmare firm,-2
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,-3
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,-3
I really want to go for fright night but I really don't 😁,-1
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,0
"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband",0
Do not #worry about anything but #pray about everything.,0
#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting,0
Didn't concede yet but having a nightmare at the back #MUFC,-1
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,-3
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",-1
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,-2
@sethwieck you should do a TED Talk on 'bubledygook'! I'm sure you could convince the masses to distrust those decrying TED Talks!,0
@MobilePunch  alarming,0
Saga: When all of your devices and teles fail just in time for bake off  #gbbo,-1
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,-1
@jk_rowling @Riverfeather207 Donald Trump in the White House ,0
@FaithHill I remember it well #happy  #Positive,0
I always dread Wednesday's and the always end up making me the happiest,0
"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",-1
It appears my fire alarm disapproves of my cooking style,0
Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus,0
We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game,0
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,-3
@yellowsuburbia really?? after so long that's shocking tbh,0
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",-1
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,-3
The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork,0
Tremor!!!\n ,-2
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic,-2
@TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ShivAroor future convicts rush in where TRP hogs fear to tread #HomilyHour,0
Overtime... #TeamNA #WCH2016 ,0
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfulness #success",0
dread pitt,0
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",-3
I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind,0
@aidankerrpol I think you should do. Get the fashion police involved. #shocking,0
Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,0
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",-3
"@CornflakeDaddy @youngvulgarian Yeah, it was sooo horrific, I needed to sit down",-2
Mom you remember when Narley died? You cried like a baby! #bully,0
@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate,0
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,0
@Red9Nick @Audi_Nutz @NickBuck08 @Thompson2Neil @Insaniti_LFC @knoller2 @KemlynRoadStand @godisared don't be shy their great people👍🏻👍🏻,0
Time for some despair #SDR3  #fuckthisanime,-2
#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,0
shake fries,0
@kevinrouth Now that's what I call a gameface! #gameface ,0
"Happy Birthday to my favorite author, @StephenKing  #writer #author",0
@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud,-1
@JamieSmart93 that was shocking!,0
#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of,0
@UndeadLayne @Lauren_Southern all the bully,0
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ",0
@lukeshawtime terrible,0
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm",0
"Don't forget 2 test yr #smoke #alarm, #carbon #monoxide #detector #batteries. It could save your #life. 🐈🐩 #Lovinleeds",0
"@wrexham I've joined holidog, paw shake and tailster and have one regular customer I just love it 🙈🙈haha @EmilyHD26 @ellshd",0
"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",-1
I'm curious to know just how much money the original Air Bud made to justify the continuation of these awful sequels and spinoffs.,0
I am in #shock and #awe and the places my #toddler manages to get his dinner.,0
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",-1
@OpheliaMCFLY_GD yes!! Once I'm done with people I'm really done.... lying to me is the worse thing someone can do I'm a nightmare 😂,0
".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! ",0
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,0
@Marissa_Frost @NevAmore_MFC awe I love you twooo!!! come adventure with me someday!,0
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",-3
US you need to band together not apart #nevertrump he promotes hatred and fuels ,-1
"@jamieyates That's what we strive for, Jamie! Please don't hesitate to reach out if you have any questions along the way. 🙂",0
@Simon_Barrett I will watch @BlairWitchMovie when it opens in Mexico in a week. Thank you for making it and don't be discouraged.,0
courage the cowardly dog is like american horror story for kids,0
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,-2
When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' ,0
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,-2
"Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \n\n'You can surely━\n@ardentflier",0
Everything you’ve ever wanted is on the other side of fear. –George Addair #ThursdayThoughts #yourpushfactor  #life #quote,0
Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10 #awful #killme,0
@MS_Hiddle_Batch no the flavour of Danish is far better but Danish pastry can be daunting to make!,0
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,-1
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,-2
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress ,0
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,-3
@EricNobody @ArmouredSkeptic @YouTube This shit is gonna start a cold war of who can flag who first.,0
@Burnt_Out_Darth @theaterofscifi thanks. ,0
@FJHobson @Beaker126 @Biastai how would you suggest we profile to stop right wing terror,0
"@Taniel @LOLGOP That'll be gosh darn terrific if they only check the brown people. Shucks, let's make a law to say only brown people.",0
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,0
I'm so nervous 😭,-3
My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O,-2
I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible,0
@Gotham3 ~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*,0
"@MasterTomTheDom  I hate winter, I dread it's arrival.",0
Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦  #timetogrind,-2
"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack ",0
Round 2 #panic #pcola,-1
@ayeshashafique5 we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation,0
"Rooney ! Oh dear, oh dear ! Fucking dreadful 🙈⚽️⚽️",-1
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited ,0
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,-1
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you ",0
Am I the only one with parking sensors who still manages to reverse into things? #nightmare,0
"@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story",0
I really wanna go to fright fest 😩,0
@salutetroye you look adorable awe,0
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista ",0
Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice,0
I need to learn to be in one place at one time and try not to worry about everything all at once,-1
Trying to book holiday flights on @britishairways website is becoming a ,0
