Tweet,label
  revolting cocks if you think i am sexy,0
 i will beat you  always thought id be gryffindor so this is a whole new world for me  excited afraid,-1
what worries you masters you  haddon robinson  jesusisthesubject worry anxiety anxious,-1
 first you take the room now you wanna beat me up ,0
 we are in so much trouble i do not think the rev will see the funny side of our project nervous,-3
   make him be a bully sit him in a room by himself and let him look at debo all day,0
3years today marks the anniversary of that horrid westgate attack in nairobi my heart out to all those of us who lost our family  friends,0
 are you guys still down when can we go up ,0
  is like the big bully in class ruining everyone lunch but instead of taking our lunch money they took away family feud bully,-1
 what is your favorite horror movie ghosthunters,0
 hate being shy ,-1
smackdev ptp start oh yeah,0
  i agree rioters destroy property injure citizens and threaten lives we need a zero tolerance policy on riots,-2
  so badslash prices or send them to refugee camps like team gear after they lose championships ,0
i am shaking now,-3
and they cover these police shootings fairly well they dont want to miss a chance to bully you,-2
 less sugar more fruit  less soda more water  less worry more sleep  less words more action,0
 oh sorry for your divorce but do not worry i will be a good wife then no reference,0
that old lady is cray cray scared bellaissocute  empire,0
editing a father of the bride speech at 3 minutes in she tells him to wrap it up he goes on for 12 more minutes ,0
 data stolen in 2014 and only now do you tell us ,-2
 awe yay thank god i was so worried,0
this is the scariest american horror story out of all of them i am gonna have to watch in the daytime ,-2
 so this houses will get into my instestines and scare my poop and i will shit my pants,-2
late night thoughts feeling ,0
the terror threat level really need to be raised,-3
you have a problem yes can you do something about it no than why ,0
  great defender terrible positioning did not know where he should be without russel shouting at him for 90 mins,0
panic panic attack from fear of starting new medication,-3
 mustard gas  hostile work environment not terrorism call osha not military,-2
an  kind of drive home from work today  dailyfeels,0
old fish ,0
rojo is a terrible defender,0
being forced into a fake hug by someone who did not flinch to get litigious with you in the past  awful ,-2
this is horrible lewis dunk has begun networking a neogeo with a his holiday home in mexico,0
noooooo  without maryberry will be awful endofanera going 2b so lost  have bought a lameduck there notallaboutthemoney,-1
crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur,0
   actually pretty typical of trump supporters this kid learned birtherism in school that horrific,-1
 give it up gas i do not hate u i just do not respect ur rudeness bully,0
 dafron is hands down the biggest loser on the planet typical bully lifer,0
 yes indeed we know masses of students would be so excited to see you we need to get this sorted haunt,0
has anyone else had a bad experience with poundstretcher nightmare firm,-2
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,-3
      i have never been more anxious of a election in my life ,-3
i really want to go for fright night but i really do not ,-1
gadot please put a left turn signal at williams and ivan allen jr blvd this is absolutely ridiculous atltraffic horrible,0
as life gets longer awful feels softer well it feels pretty soft to me modestmouse ,0
do not worry about anything but pray about everything,0
success awaits on the other side of your fear  that only in yourheadjesuschristempowersrightthinkingask fitness weightlifting,0
did not concede yet but having a nightmare at the back mufc,-1
my roommate talks and laughs in her sleep it never fails to scare the shit out of me ,-3
everybody worried about stopping terrorism well there a really easy way stop participating in it   noam chomsky,-1
 and have social anxiety there is many awkward things wrong with me ,-2
 you should do a ted talk on bubledygook i am sure you could convince the masses to distrust those decrying ted talks,0
  alarming,0
saga when all of your devices and teles fail just in time for bake off  gbbo,-1
   that what do to use violence and intimidation for a polictical agenda aka terrorism,-1
  donald trump in the white house ,0
 i remember it well happy  positive,0
i always dread wednesday and the always end up making me the happiest,0
however the agent was inauthentic my sister still loves me  i am still alive so i guess it was not that bad socialanxiety anxiety,-1
it appears my fire alarm disapproves of my cooking style,0
hahahah what a horrific penalty from bayer 5 feet wide jesus,0
we are very busy coding a whole network manager for unity3d based on steamworks networking gamedev indiedev 3amdeadtime horror game,0
white americans are worried about arab terrorists black americans are fearful of a terrorist in a police uniform on a daily basis,-3
 really after so long that shocking tbh,0
 if this ban goes through it will harm so many people disabled veterans people who have chronicpain  iamkratom,-1
  i would rather leave my child with  shudder,-3
the majority of my clients have family partner day job life and write their beautiful books  gratitude hardwork,0
tremor  ,-2
a lysol can got stuck in spray position and we are all slowly suffocating from the trash can that smells like a febreeze factory panic,-2
     future convicts rush in where trp hogs fear to tread homilyhour,0
overtime teamna wch2016 ,0
are you worryingworried 1peter 57 throw all your worry on him because he cares for you faith leadership  mindfulness success,0
dread pitt,0
bloody hell pam calm yourself down but could have sworn something black  hairy just ran across the carpet perilsoflivingalone ,-3
i am going to make it my life mission to discourage anyone from using  they will rob you blind,0
 i think you should do get the fashion police involved shocking,0
wishing i was rich so i didnt have to get up this morning poor sleepy restless sad needsmoresleep,0
came in to work today 15 hours late1st thing i hear  amaamthe big boss has been waiting for you in his office panic hatebeinglate ,-3
  yeah it was sooo horrific i needed to sit down,-2
mom you remember when narley died you cried like a baby bully,0
 some weeks there are no problems but this week is unbelievable  are you guys even running regular 12 buses awful solate,0
 i unfollowed without hesitation 3,0
        do not be shy their great people,0
time for some despair sdr3  fuckthisanime,-2
travelfail virgin virginaus and etihad nightmare  and now we are also delayed obvs ,0
shake fries,0
 now that what i call a gameface gameface ,0
happy birthday to my favorite author   writer author,0
   course day  potential leadership excited nervous  proud,-1
 that was shocking,0
trends threadpit was in my draftsnow posted 2 mins after my  closeo anyway it really was the start of,0
  all the bully,0
 never thought an angry oompa loompa would be my boggart but there you have it boggart presidenttrump ,0
 terrible,0
100 says teufel is  areassigned within the organization before next year but i wish it was sooner mets thirdbasecoach terrible lgm,0
do not forget 2 test yr smoke alarm carbon monoxide detector batteries it could save your life  lovinleeds,0
 i have joined holidog paw shake and tailster and have one regular customer i just love it haha  ,0
 americans for hrc now maybe as you see the world getting rid of terror to save their countries you will get the  dems out,-1
i am curious to know just how much money the original air bud made to justify the continuation of these awful sequels and spinoffs,0
i am in shock and awe and the places my toddler manages to get his dinner,0
in addition to fiction wish me luck on my research paper this semester 1520 pages oh boy daunting,-1
 yes once i am done with people i am really done lying to me is the worse thing someone can do i am a nightmare ,0
 ordered before 10pm last night paid for next day did not bother to fufill order now 14 working days for a refund ,0
   trump says the refugee situation is not just about terrorism it about quality of life take note,0
  awe i love you twooo come adventure with me someday,0
    these interviews scare the crap out of me i never imagined so many dumb dumb americans,-3
us you need to band together not apart nevertrump he promotes hatred and fuels ,-1
 that what we strive for jamie please do not hesitate to reach out if you have any questions along the way ,0
 i will watch  when it opens in mexico in a week thank you for making it and do not be discouraged,0
courage the cowardly dog is like american horror story for kids,0
being alone is better than being lonely know what is worse than being lonely being empty that right  loneliness aloneinthecity ,-2
when someone tells you they are going to  notear you apart and all they have to say is why are you so tall ,0
india right of reply at unga  pakistan preaching of human rights is by a country which is itself the global epicentre of terrorism,-2
collects all the times when minerva would chew on his cape begins to shiver runs a hand through his hair   you can surely ,0
everything you have ever wanted is on the other side of fear george addair thursdaythoughts yourpushfactor  life quote,0
ugh i want to punch a wall every time i have to use  10 literally the worst product ever made windows10 awful killme,0
 no the flavour of danish is far better but danish pastry can be daunting to make,0
 this is so absurd i could laugh right now if i also did not feel like crying for the future of our country  wakeupcall,-1
background suffered a bit at times of stress always a bit shy about 8 years ago aged 30 i was made redundant that when it started,-2
eft is the single most effective tool i have learned in 40 years of being a therapistdr curtis a steele psychiatrist stress ,0
when you are scared to press send bgoodthepoet prayforme thisisagoddream career help fear heart heartracing,-3
   this shit is gonna start a cold war of who can flag who first,0
  thanks ,0
   how would you suggest we profile to stop right wing terror,0
  that will be gosh darn terrific if they only check the brown people shucks let make a law to say only brown people,0
  do not get me started on town centre used to go every week not been for 18 months horrible,0
i am so nervous ,-3
my doctor has taken a liking to poking prodding and drawing blood from me post dad over concern is nice but dear gawd needles o,-2
i do not know what wifiisp rivertide suites in seaside oregon uses but 53ms ping best i can get and a dl test will not complete terrible,0
  crushes are for kids just like trix rhow bout some full blown up love that makes you quiver deep down into your core y e s ,0
  i hate winter i dread it arrival,0
fingers crossed i can finish all my work early enough this friday in time to catch  at lib   timetogrind,-2
 i am not on about history or  other people i am on about you i have bullied no one i make three posts and you attack ,0
round 2 panic pcola,-1
 we are not concerned about pakistan internal affairs but the terrorism as it state  economic policyterroristnation,0
rooney  oh dear oh dear  fucking dreadful ,-1
ready for my sweet princess to arrive i will he 37 weeks this saturday excited ,0
tulsa  police manufacture murder wonder why we carry burners  maxlevelz ,-1
 if you do not know what a patronus is i do not think we should have to tell you ,0
am i the only one with parking sensors who still manages to reverse into things nightmare,0
 musicians have a superstitious dread of crossing highway 69 true story,0
i really wanna go to fright fest ,0
 you look adorable awe,0
it simple i get after two shots of espresso grande decaf 130 degrees soy americano with extra foam barista ,0
farting in a hot are car when your windows do not roll down is terrible gag bresadvice,0
i need to learn to be in one place at one time and try not to worry about everything all at once,-1
trying to book holiday flights on  website is becoming a ,0
a monster is only a monster if you view him through ,0
on  to talk latest on chelsea bombing  ahmadkhanrahami trips to afghanistanpakistan tcot ,-1
greatest sign of trust is me giving you my laptop or phone without hesitation,0
  that what some rioters are doing ,0
should i start posting photos,0
the irony in that last is that republicans  more likely to watch fox news  distrust the news media more yet they can not see fox lies,0
right i may be an sufc fan and the football maybe shit but marcos rojo for mufc has had a shocking start he just dreadful,0
i hate that a black lady is painting herself white on the internet for laughs and likes  badform didntlaugh,0
 i told her i was not fighting her bc i am not trashy and she keeps tryna threaten me lmfao,0
 uk cops have an issue fearing intervention hence situations like rotherham so of course it will be dwarfed by us cops,0
start ur day wit a smile buviobby,0
penny dreadful just cleaved off a fraction of my heart,-1
someone wake me when  make 2016 remix of whybw terrencecrutcher election2016 colinkapernick terrorism riots this 2much,-2
to com sede de milk shake,0
there always that one song which makes you turn of the radio as you would rather sit in silence  awful,-1
been up since 4am too scared to go back to sleep nightmare  feeling scared,-3
 fear is bestbeast product of gods  atheism theism bible  christianity hell heaven purgatory psychology jesus,0
shame on you  showing an elephant being hunted and killed ,-2
  was right and you two have very similar stances against radical islamic terror time to anoint the orange one,0
will you dedicate today to love or fear  it is your choice in each moment   archangel michael archangel michael,0
 thank u so much we just finished another mindfulness film called release about anxiety  plz share,0
   i once hooked them up backward not recommended smoke panic,-2
   yeah uk was quite the bully,0
now  to do for the next hour while waiting for ourgirl to sta ,0
jorge deserves it honestly he weak revolting 90dayfiance,0
why is it when you nap during the day you are so comfortable but sleeping at night you will never be as comfortable ,0
so going to local news immediately after designatedsurvivor turns out to be a smooth transition chaos a raging fire media ,0
i was literally shaking getting the ekg done lol ,-3
 why does the ticket website never work trying to buy palace tickets and it impossible and says there an error ,0
a vote for killary is like sticking a knife in a toaster  makeamericagreatagain,0
 terrorism should not be a way of life in the united etates and was not until islam brought it here islamexposed islambacon,-1
   terrorism coffee addict  blocks cats writers artists and hedonists,0
if my concerns  anxiety do not matter to you then i shall return the favor eyematter,-2
okay brace yourself i will attempt my first loaf of bread in the morning i will use a dutch oven i will make the dough now ,0
 having a terrific game and not at all fazed mcfc,0
 if you need any assistance with your concern so it can be resolved feel free to email us with your info ap,0
mcdavid breakaway lundqvist with a tremendous save,0
 that me all the time i carry ginger candy peppermint oil and seabands at all times anxiety,-1
 omg im crying hahahaha ikaw talaga tagagising ko haha shet i set my alarm but i forgot to turn it on but im awake now so,0
do not let worry get you down  remember that moses started out as a basket case  lol  today choose faith over  moses,0
for the last 2 years the us has been averaging about 4 terrorist attacks a month good debate topic trump hillary terror,0
i can be so shy but once i come out of my shell that it ,0
   entire team from coaches on down played and coached scared from jumpstreet ,0
tomorrow is the day i cut and dye my hair  nervous excited,-2
first day of fall quarter tomorrow   nervous excited anxious blargh,-2
   am afraid you are at back of bbc queue editorially trumped by ron davies and bicycle paths,0
he intimidated by my work ethic i think he knows i want his spot ,0
i had a dream that i dropped my iphone 7 and it broke tt cry iphone7 ,-3
 they wanna bully the inhuman,0
pakistan is the biggest victim of terrorism  nawaz sharif  really it should have been biggest creator of terrorism unga,-2
do not be so shy nl,0
just laying here can not sleep 4 some reason restless,0
false alarm  matoma  becky hill,0
in wake of fresh terror threat and sounding of alert in mumbai praying for safety  security of everybody in the city maharashtra news,-3
next month we will be running overcoming lowmood overcoming worry and improving wellbeing courses in louth self refer on 0303 123 4000,0
 on rhobh you just do not want to assume an affair while you were married so you criticize  ,0
forgot to plug the phone in overnight nightmare,0
my view of the human being is as a dynamic expression of the cosmos we exist within humanism ,0
   oh do not panic he gonna be there,0
what up cowboys horrible,0
still waiting to see if my  will make an appearance next week  two months today it was ordered shocking badservice,-1
 should have stopped after miled being rudenot the same as being funnyit was just being mean bully  stoppickingonwomen,-2
fingers crossed i can finish all my work early enough this friday in time to catch  at lib  nervous timetogrind,-2
happy 69th  may u keep haunting us for many years  writing,0
i get discouraged because i try for 5 fucking years a contact with lady gaga but are thousands of tweets how she would see my tweet ,0
 old age no hope for the rest of us destined to become deatheaters by 50 nightmare,-2
eft is the single most effective tool i have learned in 40 years of being a therapistdr curtis a steele psychiatrist stress anxiety,0
there are magpies gathering around me help i am going to be swooped  ,-1
 can you imagine being the person who has to spray tan him shudder,0
the pats are awesome belichick is awesome  just are awestruck,0
  btw george w bush left office in 09 we have had terrific leadership under barack obama keep america great,0
 forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when i hit him and did not do shit when he,0
was actually just watching ahs while half covering my eyes scared roanoke nightmare ahsroanoke,-2
  it is very specific areas only i care like 0 about clothes much to my mother dismay,0
my study skills are terrible ,0
i met with an employment specialist this morning  she basically told me its unlikely i will get a job because i clearly have too much anxiety,-3
trump is afraid of the big bad hillary election presidentialdebate presidentialelection2016 orangehitler skip hide coward ,0
unruly kids at 8am in the morning nothanks ripping the flower beds up by the roots while their parents watch ,0
i thought the nausea and headaches had passed but lol i feel awful today,-2
 that a terrible thing to accuse scott baio of,0
multitasking  i may have to induce these seeds of mine to sleep restless,0
if you think reason will prevail in this election remember that hitler was elected by what was then a wholly  areasonable society ,-2
there always that one song which makes you turn of the radio as you would rather sit in silence  ,0
  youre one of those whod bully me omg but it was all banter and we could laugh at it later haha youre a nice guy x,0
i am beyond mad that i lost track of a brown spider in my brown carpet where did you go  will be sneaking up on me frightened,-3
i i can not i am scared bees terrify me,-3
  make him feel vigorous fine you can kill me now said hestia with a display of only despair rather than her joyful ,0
although this war will be under the guise of combating terrorism it will in fact be a war against poverty ignorance and just stupidity,0
which johncarpenter horror action flick is your favorite ,0
  i would rather see kyle from bbcan play again and that is saying something ,0
a monster is only a monster if you view him through fear,0
 local solutions fine but not 864 providers negotiating with 32 laijb  scare resources,0
action is the foundational key to all success pablo picasso inspiring quote action hustle  dosomething success,0
 term 5 security queues at arrivals shocking,0
i delete numbers so quick with no hesitation,0
 do not worry me and my mans  gave him a piece of our mind,0
archangelsummit   anyone can be brave but you just have to last 5 mins longer than everyone else leadership ,0
   so when exactly did you lose your mind pal  trump fraud misogynist liar psychopath narcissist revolting conartist,0
remember the twinkie scare  tbt,0
 be nice if the texans could hold onto the ball to give fuller and hopkins a chance awful tnf,0
ok ok i know my last tweet was ,0
i had really strange and awful dreams last night i would did not even eat cheese before bed nightmare lovemysleep,-2
how do you ever stop being afraid of someone that you live with,-2
everyday gay panic is stunning i drew 1 guy attn to it when he blocked up a toilet stall cracks wpaper towels total incomprehension,0
as much as i want a normal little life it would not suit me i would get restless i need to just do what i want at all times to be happy ,0
 do you actually heely on campus bc this should scare you,-1
so i have decided to go talk to mr smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning,-3
 awe yay wish i could rt ,0
the texans should never play a prime time game  is awful tnf,0
this maybe a new start but it will always be align with the end  forward,0
when you realize there is nohopeforhumanity so you just start focusing on what best for you,0
heavyheart these last couple of days who are the cause of this  fear of losing someone close  amerikkka kkkops terencecrutcher,-3
realized i intimidate people with low self esteem a long time ago i only surround myself with winners and people who know how to get money,0
 my courage always rises at every attempt to intimidate me elizabeth bennett pride and prejudice quotes courage faceyourfears,0
patriot rookie qb jacoby brissett  to start vs houston tomorrow nite  been a learning process since i got heregotta be ready to go,0
like srsly somebody help me deal with this social anxiety,-3
with only 7 months left until i possess my undergraduate degree i feel like i can not handle adulthood anymore anxiety nojobsinbiology,-3
big up  did i miss phantom dread syndrome by  dudes sick,0
 fear is bestbeast product of gods  atheism theism bible afraid christianity hell heaven purgatory psychology jesus,0
  all the best moto gp is loosing a very talented rider shocking,0
just had my interview for the medical internship and i am beyond nervous i was shaking so bad it was unreal,-3
you do not know what to expect by brendon video lmao la devotee video got me shook panic,0
oh yay old scientist builds himself a robot assistant and makes it look like a hot naked woman nothing alarming here,0
 yeah we are also experiencing terrorist attacks by islam and blacklivesmatter at an alarming rate,-3
 texans are scared of this bunch ,-1
and im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread,-1
 i got that but you were alarming,-1
mary astounded there at the concept of having leftover milk at the end of your cereal gbbo,0
 i will actually shoot somebody if i have to not just draw down or expose it to somebody to scare them charles,0
 term 5 security queues at arrivals ,0
when you make a great tasting shake and no words can describe it shake herbalifenutrition tastesogood nowords,0
the zika hoax files deet is part of a binary chemical weapon targeting your brain toxin fear neurological uscitizens insect mammal,-1
when  says she releasing more idinaparty tickets and you set an alarm to not miss it fingerscrossed idina,0
 true indeed next time if these midnight hunger pangs worry youthen you can order delicious rolls from trc via ,0
  hahahaa you know coy,0
fosu mensah is having a complete nightmare it the reason all northamptons attacks come from the left,-1
it not a panic situation let be honest how shit are they we just have rooney up front ,0
multitasking  i may have to induce these seeds of mine to sleep ,0
  muslims have been in usa for ages to think that muslims commit terrorism due to islam you gotta be out of your mind,-1
who afraid of the clowns comment down there,0
 texans are scared of this bunch intimidated,-2
val having a nervous breakdown floss gbbo,-2
drop every fear,0
hopefully i will get this best buy job and officaly start my streaming career  working towards doing something i love 1dayatatime,0
whats with these boxes when i search google on chrome horrible distracting,0
  which really sucks because typing on a mobile device is always horrible and i hate it,0
 now that what i call a gameface gameface  intimidate,0
insomniacs can not get sleep cuz they are too guilty about all the horrible shit they do i am a complete sociopath n sleep like a baby,0
  awe am not he a sweetheart he adorable ,0
 thanks for getting back to me exemplary customer service for a loyal customer jk awful residentadvisor poorservice,0
now this is getting out of hand i am freaked out by this  i am god mommagrendel ,-3
 wait you mean he was not armed with a book ,0
okay brace yourself i will attempt my first loaf of bread in the morning i will use a dutch oven i will make the dough now nervous,-2
 how about saying something like if you are concerned about privacy use it only in incognito mode alarmist,0
so i just opened this message brooke sent me got me i am weak as the fuck  she is a fucking bully for no reason ,-2
awe produces gratitude gratitude instills joy  the harvest of joy is contentment    awe ,0
tesco why oh why cant my visa electron be accepted on line  i am 55  not 15  ,0
  you certainly would not catch me with the multitude ,0
 stop the presses  saidproposed something racist ,0
do you think humans have the sense for recognizing impending doom anxiety,-3
halloween party coming soon turnt ruint lit firesauce hotsauce mildsauce getsauced champagnedreams scary haunt kittens,0
i want to slide into the dms but im too fucking shy shy,-1
 if you do not know what a patronus is i do not think we should have to tell you shocking,0
 eric could not help but laugh though that made him wince in pain it hurt a lot he just wanted to sit down somewhere ,0
it pretty clear i can not stand  no tolerance for habitual liars not a trump fan either so what a citizen to do despair,-1
this brother know we know that his life was not in danger this gun law got people in this country fearing for their life white people,-2
  we can not forget d pastbut while we apprehend and punish d culprits of the pastare we going to allow d present to slip away,0
just want to be a dad so i can play kick the baby with my little one southpark mellogang  edm plur dad djlife dj producer,0
 we regret the inconvenience caused we have noted your concern we will get in touch with you soon to discuss rgds abhijit,0
anyone else find  anniversary windows 10 update 1607 a complete ,0
i wanna go to fright fest with squad,0
hillary clinton looked the other way to the saudi war on women and their terror financing because they bought her off,0
o you who have believed fear allah and believe in his messenger he will then give you a double portion of his mercy quran 5728,0
my roommate turns the sink off with her foot to avoid germs and a guy says your roommate is feet girl i am so sorry plz help nightmare,-1
i am not afraid of clowns but i am really hoping they do not make an appearance around my hometown,-1
it really is amazing the money they give to some of these qb nfl texans brock terrible,0
 pleased to meet you you obviously know me offers her hand to shake,0
i am scared that my coworkers are going to submit me to one of those wardrobe makeover shows fear fashion,-2
 does being a bully make u feel like a bigman cos it makes u a twat,0
  i would rather see kyle from bbcan play again and that is saying something awful,0
a concern of mine is that big name falike malik will tell other big potential fa to steer clear of this franchise till gus is gone,0
love all the ex united managers on twitter who form our fanbase honestly i despair at times just back the fucking team eh mufc,0
 what is shehla rashid  kaniyah kumar saying about you  and when they say truth indians threaten them fakedemocracy,-1
   connor said he worried that jack will steal his girls on a night out ,0
   i threaten you because i can pussy,0
the secret to all of every industry just start doing itsomehow people forget that they never gave you permission  ,0
   shew that was awful,0
