Tweet,label
@liamch88 yeah! :) playing well ,0
At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,0
UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!,0
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",0
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,-2
"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma",-3
I hate having ideas but being too afraid to share them 😔,-3
"At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at",1
"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",1
Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost  @coldplay,-2
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,-2
For what a beautiful day. ,1
We have been a better second half team this season. So there's that. ,0
"Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland",0
@rclemmons much #sadness and #heartbreak,-3
"I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa Parks #quotes #motivation",0
"Walk right through them! See way past them, and don't even hesitate running them over.",0
@crazace76 it looks cool and animated well for pixel art !,2
Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,1
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",2
"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay",3
#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation,1
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",0
People too weak to follow their own dreams will always find a way to discourage yours.,-2
@bldmovs sadly beautiful photo.,-2
@SueWallace78 peanut butter???? You some kinda pervert?? ,-2
My baskets are better when I'm in a bad mood someone irritate me before practice please,-2
Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY,1
@ChurdAllan fucked my coupon that goal! ,-1
It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.',-3
"@GreatDismal @Bencjacobs and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman",0
Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN,1
@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,0
@iamglenn35 the forth character? No... not gleeful enough...,-1
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe,0
@homoaesthetics YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters,1
"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",0
Hey NASCAR fans. Are you going to the race in Loudon this weekend?  Why not stop by New Day Diner for a great hearty breakfast before you go,1
Love your new show @driverminnie ,1
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",0
"@NFLonFOX @TheDoctorCarson @FOXSports Easy, breezy, beautiful...",2
Being in the countryside all day was so pleasing,3
@bear_ing you asshole... you made me sexually attacked to a animated bear :-P,-2
@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,-2
@Corsair those sparkling looks like a gay vampire 😁,1
"What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father",-2
@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️,2
"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",1
And you as well! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen,1
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,-2
For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote,1
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later  #protest #PoliceShootings #suggestions,0
"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp ",0
And here we go again 😓 ,-2
I found #marmite in Australia. `:) #happy,3
Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy #rejoice,1
"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂",2
@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,-2
@TheNotoriousMMA looking like @MIckeyRourkeFP in his heyday,0
"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? ",-2
i'm doing laundry and watching that 70's show with a bunch of strangers.  #birthday #to #me,0
that's my breezy breezy breezy that's my breezy that's my buzzinnnnnn.,1
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,0
@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,-3
A delight to be at the Lane tonight and witness the debuts of some young talent that could be the backbone of our club!! #COYS,3
I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,-2
"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",3
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,-2
Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness,-1
Never let me see you frown,-1
"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",-3
@alicereidy more of a hearty Italian man myself,0
@amychozick @jswatz Not a word about terrorism.,0
@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.,0
Very long day. Thank goodness for Bake Off to brighten up a weary Wednesday ☺ #GBBO,0
"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",3
Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.,-1
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,-3
@FilthyFrank My first time watching your vids and i died of laughter. Keep this up dude,3
"@Spacekatgal @outmagazine Its okay to be trans just rejoice with the trans in the trans way. By the way it's not your business, so why care?",0
Omg I actually thought she was going to jump.  #SouthPark20 #southpark,-2
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",3
This whole #VanRE + extradition might turn into a Pandora's box. JT has no idea about that murky corrupt guanxi in China; Toad vs Dada ;-),-2
Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless,-3
The LORD your God is in your midst—a warrior bringing victory. He will create calm with his love; he will rejoice over you with singing.,1
"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …",3
Nice Idea collect all relevant socialmedia in one-But dont be automatic pls #worldsapp ⬅️ #chirp #appsworld #socialmedia @DanielFeuer merci🎈,0
I can never find the exact #emoji that I'm after at the exact moment that I need it #nuclear #missiles.\n\n#IndianArmy ,-2
Brendan Rodgers looks fuming 😭,-2
@GOtvNg CN seems like you only appreciate good reviews. No apologies to my concern years ago.,-2
My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy,3
I am always ready to #smile.,2
"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",-2
@PuseLepuru it's the irritation of not having found the corpse,-3
Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ #smile,2
@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!,-2
@ClvlndK8 It's so sad! There's always such optimism with a new year. This is...not good. @BuckshotBandit1 @dapostrophearcy,-2
one thing I can say is that you kept me smiling,3
It's meant to be!!  ,0
Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,1
Lets get this Astros/A's game going already!  We're going to need all 5 of you in attendance to cheer the A's to victory!,0
Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.,2
Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!,0
Vincent looking super lively boy... Hattrick perhaps lol,1
in health we did a think about depression and now i feel like i have it,-2
@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔,-1
I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,-3
@JamesPiotr I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from.,-2
"It take so little to make a child's life joyful, why do we work so hard to make their lives hell? @MiddleEastEye Peace",0
Omg I'm outside making beats with garageband and some little birds  decided to chirp along （≧∇≦）,0
@DoubleEph sadly his best days are behind him,-2
@zavvi @zavvihelp only offering 6 moth warranty #ps4pro #shocking #truth #ripoff,-2
"Ok, it seems there is still hope in BSNL 🙂\nNow, BB speed is ok 🙂\nBut I won't thank and elate much lest it be gone again like before 😐🙂",0
chirp chirp! what a beautiful white and red bird! 🐦,1
@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,0
It's been 5 weeks and I still go through depression smh,-3
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,-3
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",0
Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,3
One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened,0
.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.',-2
- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -,0
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,3
Come to the @BullSkitComedy FUNdraiser this Fri. at 8pm @TheScottBlock. Because #pie + #face = !,1
"@washingtondc @NMAAHC That is Noah Ark, it's a terrific design.",0
I'm a cheery ghost.,1
did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,0
@Markk1872  Red heads are more fiery.,0
Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,2
Relive Vegas' heyday with Rat Pack tribute,0
"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",0
Job interview in the afternoon  #ek,0
"Today I answered a call from a college rep who didn't realize I did, and I got to hear part of his lively debate about if evolution is real.",0
I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍,1
"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen",-2
#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter!  #cleverpeople,3
Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef,-1
I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,1
I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,-1
i cant live anymore my roblox got termianted :(((((((((((((((((((((((( #sad #killme #lol #robloxgamer,-3
@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively,0
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,-2
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,-2
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,-2
Impractical Jokers...practically genius!!!  @BQQuinn #laughter #good4thesoul #ImpracticalJokers #bingewatching,2
#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,2
@crumpledlinen he chirp,0
The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,0
"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc",0
Guy across from me in a really ugly suit cannot stop expressing his displeasure,-3
f breezy,1
Turns out 'it' wasn't even anything to be concerned about at all. Im happy and a bit frustrated it took so long to get this answer.,0
Bojack Horseman: the saddest show ever written?? #depression #season1,-3
"Dehydrated, exhausted, stressed but still blessed. ",0
"I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.",0
#Appreciate what you have &amp; enjoy your life. \nUse your #smile 😃 to help others use theirs. ☺️,2
What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg ,1
